Visitor,Home,Winner
Chicago Bulls,Philadelphia 76ers,Philadelphia 76ers
Toronto Raptors,Washington Wizards,Toronto Raptors
Atlanta Hawks,Brooklyn Nets,Brooklyn Nets
Denver Nuggets,Memphis Grizzlies,Memphis Grizzlies
Los Angeles Clippers,Minnesota Timberwolves,Los Angeles Clippers
Dallas Mavericks,San Antonio Spurs,Dallas Mavericks
Charlotte Hornets,Golden State Warriors,Golden State Warriors
New Orleans Pelicans,Sacramento Kings,Sacramento Kings
Philadelphia 76ers,Detroit Pistons,Philadelphia 76ers
Utah Jazz,Atlanta Hawks,Utah Jazz
Boston Celtics,Miami Heat,Boston Celtics
Houston Rockets,Phoenix Suns,Phoenix Suns
Oklahoma City Thunder,Los Angeles Lakers,Oklahoma City Thunder
Brooklyn Nets,Detroit Pistons,Brooklyn Nets
San Antonio Spurs,Orlando Magic,San Antonio Spurs
Memphis Grizzlies,Washington Wizards,Washington Wizards
New York Knicks,Milwaukee Bucks,New York Knicks
Cleveland Cavaliers,Toronto Raptors,Cleveland Cavaliers
Los Angeles Clippers,Minnesota Timberwolves,Los Angeles Clippers
New Orleans Pelicans,Golden State Warriors,Golden State Warriors
Indiana Pacers,Portland Trail Blazers,Portland Trail Blazers
Charlotte Hornets,Sacramento Kings,Sacramento Kings
Houston Rockets,Denver Nuggets,Denver Nuggets
Utah Jazz,Miami Heat,Miami Heat
Philadelphia 76ers,Chicago Bulls,Philadelphia 76ers
Boston Celtics,Dallas Mavericks,Dallas Mavericks
Atlanta Hawks,Phoenix Suns,Phoenix Suns
Los Angeles Lakers,Portland Trail Blazers,Portland Trail Blazers
Brooklyn Nets,Toronto Raptors,Brooklyn Nets
Cleveland Cavaliers,New York Knicks,Cleveland Cavaliers
Utah Jazz,Orlando Magic,Orlando Magic
Indiana Pacers,Sacramento Kings,Indiana Pacers
Milwaukee Bucks,Washington Wizards,Washington Wizards
San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder
Houston Rockets,Golden State Warriors,Golden State Warriors
Charlotte Hornets,Los Angeles Clippers,Los Angeles Clippers
New York Knicks,Philadelphia 76ers,New York Knicks
Brooklyn Nets,Chicago Bulls,Chicago Bulls
Minnesota Timberwolves,Memphis Grizzlies,Memphis Grizzlies
New Orleans Pelicans,Dallas Mavericks,Dallas Mavericks
Miami Heat,Denver Nuggets,Denver Nuggets
Atlanta Hawks,Golden State Warriors,Golden State Warriors
Phoenix Suns,Sacramento Kings,Phoenix Suns
Charlotte Hornets,Los Angeles Lakers,Los Angeles Lakers
Milwaukee Bucks,Philadelphia 76ers,Milwaukee Bucks
Atlanta Hawks,Utah Jazz,Utah Jazz
Portland Trail Blazers,Los Angeles Clippers,Los Angeles Clippers
Washington Wizards,Cleveland Cavaliers,Washington Wizards
Brooklyn Nets,Orlando Magic,Brooklyn Nets
Toronto Raptors,Boston Celtics,Boston Celtics
Detroit Pistons,Houston Rockets,Detroit Pistons
Milwaukee Bucks,New York Knicks,Milwaukee Bucks
Dallas Mavericks,Chicago Bulls,Chicago Bulls
Charlotte Hornets,Memphis Grizzlies,Charlotte Hornets
Oklahoma City Thunder,New Orleans Pelicans,Oklahoma City Thunder
Sacramento Kings,San Antonio Spurs,San Antonio Spurs
Indiana Pacers,Denver Nuggets,Denver Nuggets
Portland Trail Blazers,Phoenix Suns,Phoenix Suns
Minnesota Timberwolves,Golden State Warriors,Golden State Warriors
Miami Heat,Los Angeles Lakers,Los Angeles Lakers
Toronto Raptors,Philadelphia 76ers,Toronto Raptors
Indiana Pacers,Utah Jazz,Indiana Pacers
Miami Heat,Los Angeles Clippers,Los Angeles Clippers
New York Knicks,Charlotte Hornets,Charlotte Hornets
Milwaukee Bucks,Boston Celtics,Boston Celtics
Detroit Pistons,Cleveland Cavaliers,Cleveland Cavaliers
Portland Trail Blazers,Houston Rockets,Portland Trail Blazers
Phoenix Suns,Memphis Grizzlies,Phoenix Suns
Brooklyn Nets,New Orleans Pelicans,Brooklyn Nets
Sacramento Kings,Oklahoma City Thunder,Oklahoma City Thunder
Dallas Mavericks,San Antonio Spurs,Dallas Mavericks
Atlanta Hawks,Denver Nuggets,Denver Nuggets
Chicago Bulls,Golden State Warriors,Golden State Warriors
Minnesota Timberwolves,Los Angeles Lakers,Minnesota Timberwolves
Miami Heat,Utah Jazz,Miami Heat
Philadelphia 76ers,Indiana Pacers,Indiana Pacers
Memphis Grizzlies,New Orleans Pelicans,New Orleans Pelicans
Washington Wizards,Orlando Magic,Washington Wizards
Detroit Pistons,Toronto Raptors,Detroit Pistons
Boston Celtics,Cleveland Cavaliers,Cleveland Cavaliers
Minnesota Timberwolves,Los Angeles Clippers,Los Angeles Clippers
San Antonio Spurs,Los Angeles Lakers,Los Angeles Lakers
Milwaukee Bucks,Atlanta Hawks,Atlanta Hawks
Golden State Warriors,Charlotte Hornets,Charlotte Hornets
Phoenix Suns,Houston Rockets,Phoenix Suns
Brooklyn Nets,Oklahoma City Thunder,Brooklyn Nets
Portland Trail Blazers,Denver Nuggets,Denver Nuggets
Chicago Bulls,Los Angeles Clippers,Chicago Bulls
Boston Celtics,Cleveland Cavaliers,Boston Celtics
