Visitor,Home,Winner
Brooklyn Nets,Los Angeles Lakers,Brooklyn Nets
Dallas Mavericks,Utah Jazz,Utah Jazz
Orlando Magic,Miami Heat,Miami Heat
Toronto Raptors,Cleveland Cavaliers,Cleveland Cavaliers
Memphis Grizzlies,Sacramento Kings,Memphis Grizzlies
Philadelphia 76ers,Washington Wizards,Philadelphia 76ers
New Orleans Pelicans,Oklahoma City Thunder,Oklahoma City Thunder
Detroit Pistons,San Antonio Spurs,San Antonio Spurs
Indiana Pacers,Chicago Bulls,Chicago Bulls
Denver Nuggets,Los Angeles Clippers,Denver Nuggets
Houston Rockets,Charlotte Hornets,Charlotte Hornets
Chicago Bulls,Atlanta Hawks,Chicago Bulls
Boston Celtics,Minnesota Timberwolves,Minnesota Timberwolves
Utah Jazz,San Antonio Spurs,Utah Jazz
Memphis Grizzlies,Phoenix Suns,Memphis Grizzlies
Dallas Mavericks,Portland Trail Blazers,Dallas Mavericks
Brooklyn Nets,Los Angeles Clippers,Brooklyn Nets
Milwaukee Bucks,Orlando Magic,Milwaukee Bucks
Washington Wizards,Miami Heat,Miami Heat
Philadelphia 76ers,Toronto Raptors,Philadelphia 76ers
Los Angeles Lakers,Houston Rockets,Los Angeles Lakers
New York Knicks,Minnesota Timberwolves,New York Knicks
Cleveland Cavaliers,New Orleans Pelicans,New Orleans Pelicans
Denver Nuggets,Golden State Warriors,Denver Nuggets
Oklahoma City Thunder,Sacramento Kings,Sacramento Kings
New York Knicks,Detroit Pistons,New York Knicks
Charlotte Hornets,Indiana Pacers,Charlotte Hornets
Los Angeles Clippers,Boston Celtics,Los Angeles Clippers
Atlanta Hawks,Chicago Bulls,Chicago Bulls
Los Angeles Lakers,Memphis Grizzlies,Memphis Grizzlies
Oklahoma City Thunder,Phoenix Suns,Phoenix Suns
Utah Jazz,Portland Trail Blazers,Utah Jazz
Dallas Mavericks,Sacramento Kings,Sacramento Kings
Philadelphia 76ers,Brooklyn Nets,Philadelphia 76ers
Milwaukee Bucks,Orlando Magic,Milwaukee Bucks
Cleveland Cavaliers,Washington Wizards,Washington Wizards
Phoenix Suns,Boston Celtics,Boston Celtics
Chicago Bulls,Indiana Pacers,Chicago Bulls
Dallas Mavericks,Sacramento Kings,Dallas Mavericks
Miami Heat,Houston Rockets,Miami Heat
Atlanta Hawks,Cleveland Cavaliers,Atlanta Hawks
Los Angeles Clippers,Toronto Raptors,Toronto Raptors
San Antonio Spurs,Memphis Grizzlies,Memphis Grizzlies
New York Knicks,Oklahoma City Thunder,Oklahoma City Thunder
Minnesota Timberwolves,Utah Jazz,Utah Jazz
Portland Trail Blazers,Los Angeles Lakers,Los Angeles Lakers
New Orleans Pelicans,Milwaukee Bucks,Milwaukee Bucks
San Antonio Spurs,Detroit Pistons,Detroit Pistons
Chicago Bulls,Washington Wizards,Chicago Bulls
Los Angeles Clippers,Brooklyn Nets,Los Angeles Clippers
Denver Nuggets,Houston Rockets,Denver Nuggets
Golden State Warriors,Utah Jazz,Golden State Warriors
New York Knicks,Toronto Raptors,Toronto Raptors
Orlando Magic,Boston Celtics,Boston Celtics
Indiana Pacers,Cleveland Cavaliers,Cleveland Cavaliers
Miami Heat,Sacramento Kings,Sacramento Kings
Phoenix Suns,Charlotte Hornets,Phoenix Suns
Dallas Mavericks,Oklahoma City Thunder,Dallas Mavericks
Minnesota Timberwolves,Los Angeles Lakers,Los Angeles Lakers
Houston Rockets,Philadelphia 76ers,Philadelphia 76ers
Charlotte Hornets,Washington Wizards,Washington Wizards
Memphis Grizzlies,Brooklyn Nets,Memphis Grizzlies
Orlando Magic,Chicago Bulls,Chicago Bulls
Detroit Pistons,Milwaukee Bucks,Detroit Pistons
Utah Jazz,New Orleans Pelicans,Utah Jazz
Denver Nuggets,Dallas Mavericks,Dallas Mavericks
Miami Heat,Golden State Warriors,Golden State Warriors
Atlanta Hawks,Portland Trail Blazers,Portland Trail Blazers
Minnesota Timberwolves,Los Angeles Clippers,Minnesota Timberwolves
Memphis Grizzlies,Cleveland Cavaliers,Memphis Grizzlies
San Antonio Spurs,Toronto Raptors,Toronto Raptors
Indiana Pacers,New York Knicks,New York Knicks
Phoenix Suns,New Orleans Pelicans,Phoenix Suns
Sacramento Kings,Los Angeles Lakers,Los Angeles Lakers
Detroit Pistons,Charlotte Hornets,Charlotte Hornets
Philadelphia 76ers,Orlando Magic,Philadelphia 76ers
Houston Rockets,Washington Wizards,Houston Rockets
San Antonio Spurs,Boston Celtics,San Antonio Spurs
Golden State Warriors,Dallas Mavericks,Dallas Mavericks
Brooklyn Nets,Indiana Pacers,Brooklyn Nets
Toronto Raptors,Milwaukee Bucks,Toronto Raptors
Oklahoma City Thunder,Minnesota Timberwolves,Minnesota Timberwolves
Utah Jazz,Denver Nuggets,Utah Jazz
Miami Heat,Portland Trail Blazers,Miami Heat
Atlanta Hawks,Sacramento Kings,Atlanta Hawks
Boston Celtics,New York Knicks,New York Knicks
Detroit Pistons,Memphis Grizzlies,Memphis Grizzlies
Golden State Warriors,New Orleans Pelicans,New Orleans Pelicans
Los Angeles Clippers,Phoenix Suns,Phoenix Suns
San Antonio Spurs,Philadelphia 76ers,Philadelphia 76ers
Milwaukee Bucks,Brooklyn Nets,Milwaukee Bucks
Utah Jazz,Toronto Raptors,Toronto Raptors
Washington Wizards,Chicago Bulls,Chicago Bulls
Dallas Mavericks,Houston Rockets,Dallas Mavericks
Minnesota Timberwolves,Oklahoma City Thunder,Minnesota Timberwolves
Sacramento Kings,Denver Nuggets,Denver Nuggets
Atlanta Hawks,Los Angeles Lakers,Los Angeles Lakers
Cleveland Cavaliers,Portland Trail Blazers,Cleveland Cavaliers
Memphis Grizzlies,Los Angeles Clippers,Memphis Grizzlies
Milwaukee Bucks,Charlotte Hornets,Charlotte Hornets
Orlando Magic,Detroit Pistons,Detroit Pistons
Utah Jazz,Indiana Pacers,Indiana Pacers
New York Knicks,Boston Celtics,Boston Celtics
Miami Heat,Phoenix Suns,Miami Heat
San Antonio Spurs,Brooklyn Nets,Brooklyn Nets
Atlanta Hawks,Los Angeles Clippers,Los Angeles Clippers
Washington Wizards,Orlando Magic,Washington Wizards
New Orleans Pelicans,Toronto Raptors,Toronto Raptors
Minnesota Timberwolves,Houston Rockets,Minnesota Timberwolves
Denver Nuggets,Oklahoma City Thunder,Denver Nuggets
Chicago Bulls,Dallas Mavericks,Dallas Mavericks
Cleveland Cavaliers,Golden State Warriors,Golden State Warriors
Sacramento Kings,Portland Trail Blazers,Portland Trail Blazers
Memphis Grizzlies,Los Angeles Lakers,Memphis Grizzlies
Milwaukee Bucks,Charlotte Hornets,Charlotte Hornets
Utah Jazz,Detroit Pistons,Detroit Pistons
Indiana Pacers,Boston Celtics,Boston Celtics
San Antonio Spurs,New York Knicks,New York Knicks
Philadelphia 76ers,Houston Rockets,Philadelphia 76ers
Brooklyn Nets,Portland Trail Blazers,Portland Trail Blazers
Cleveland Cavaliers,Sacramento Kings,Cleveland Cavaliers
Oklahoma City Thunder,Washington Wizards,Washington Wizards
Phoenix Suns,Toronto Raptors,Phoenix Suns
Detroit Pistons,Chicago Bulls,Chicago Bulls
Golden State Warriors,Memphis Grizzlies,Memphis Grizzlies
Minnesota Timberwolves,New Orleans Pelicans,New Orleans Pelicans
Denver Nuggets,Los Angeles Clippers,Los Angeles Clippers
Boston Celtics,Indiana Pacers,Boston Celtics
Charlotte Hornets,Philadelphia 76ers,Charlotte Hornets
Orlando Magic,Washington Wizards,Washington Wizards
Miami Heat,Atlanta Hawks,Miami Heat
Dallas Mavericks,New York Knicks,New York Knicks
Houston Rockets,San Antonio Spurs,Houston Rockets
Cleveland Cavaliers,Utah Jazz,Cleveland Cavaliers
Brooklyn Nets,Chicago Bulls,Brooklyn Nets
Los Angeles Lakers,Sacramento Kings,Sacramento Kings
Golden State Warriors,Milwaukee Bucks,Milwaukee Bucks
Minnesota Timberwolves,Memphis Grizzlies,Memphis Grizzlies
Los Angeles Clippers,New Orleans Pelicans,New Orleans Pelicans
Oklahoma City Thunder,Brooklyn Nets,Oklahoma City Thunder
Portland Trail Blazers,Denver Nuggets,Denver Nuggets
Orlando Magic,Charlotte Hornets,Orlando Magic
Toronto Raptors,Detroit Pistons,Detroit Pistons
Phoenix Suns,Indiana Pacers,Phoenix Suns
Boston Celtics,Philadelphia 76ers,Philadelphia 76ers
Golden State Warriors,Chicago Bulls,Golden State Warriors
Atlanta Hawks,Miami Heat,Miami Heat
Cleveland Cavaliers,San Antonio Spurs,Cleveland Cavaliers
Dallas Mavericks,Memphis Grizzlies,Dallas Mavericks
Houston Rockets,Sacramento Kings,Sacramento Kings
Toronto Raptors,Milwaukee Bucks,Toronto Raptors
Portland Trail Blazers,Washington Wizards,Portland Trail Blazers
New York Knicks,Atlanta Hawks,New York Knicks
New Orleans Pelicans,Brooklyn Nets,Brooklyn Nets
Philadelphia 76ers,Miami Heat,Philadelphia 76ers
Cleveland Cavaliers,Oklahoma City Thunder,Cleveland Cavaliers
Chicago Bulls,Boston Celtics,Boston Celtics
Los Angeles Clippers,San Antonio Spurs,San Antonio Spurs
Los Angeles Lakers,Denver Nuggets,Denver Nuggets
Orlando Magic,Dallas Mavericks,Dallas Mavericks
Phoenix Suns,Detroit Pistons,Phoenix Suns
Houston Rockets,Sacramento Kings,Houston Rockets
Utah Jazz,Denver Nuggets,Utah Jazz
Golden State Warriors,Minnesota Timberwolves,Minnesota Timberwolves
New Orleans Pelicans,Boston Celtics,Boston Celtics
Charlotte Hornets,New York Knicks,Charlotte Hornets
Philadelphia 76ers,Washington Wizards,Washington Wizards
Brooklyn Nets,Cleveland Cavaliers,Cleveland Cavaliers
Indiana Pacers,Los Angeles Clippers,Los Angeles Clippers
Chicago Bulls,Memphis Grizzlies,Memphis Grizzlies
Milwaukee Bucks,Atlanta Hawks,Atlanta Hawks
Portland Trail Blazers,Orlando Magic,Portland Trail Blazers
Toronto Raptors,Miami Heat,Miami Heat
Oklahoma City Thunder,Dallas Mavericks,Dallas Mavericks
Phoenix Suns,San Antonio Spurs,Phoenix Suns
Utah Jazz,Los Angeles Lakers,Los Angeles Lakers
Minnesota Timberwolves,New York Knicks,Minnesota Timberwolves
Detroit Pistons,Golden State Warriors,Golden State Warriors
Orlando Magic,Philadelphia 76ers,Philadelphia 76ers
Brooklyn Nets,Washington Wizards,Brooklyn Nets
Minnesota Timberwolves,Atlanta Hawks,Atlanta Hawks
Charlotte Hornets,Boston Celtics,Charlotte Hornets
Portland Trail Blazers,Miami Heat,Miami Heat
Cleveland Cavaliers,Chicago Bulls,Chicago Bulls
Memphis Grizzlies,Milwaukee Bucks,Milwaukee Bucks
Toronto Raptors,Dallas Mavericks,Dallas Mavericks
Oklahoma City Thunder,San Antonio Spurs,San Antonio Spurs
Houston Rockets,Utah Jazz,Houston Rockets
Los Angeles Clippers,Denver Nuggets,Denver Nuggets
Detroit Pistons,Sacramento Kings,Detroit Pistons
Indiana Pacers,Los Angeles Lakers,Indiana Pacers
Phoenix Suns,Dallas Mavericks,Phoenix Suns
New Orleans Pelicans,New York Knicks,New Orleans Pelicans
Indiana Pacers,Golden State Warriors,Indiana Pacers
Oklahoma City Thunder,Charlotte Hornets,Charlotte Hornets
Los Angeles Lakers,Orlando Magic,Los Angeles Lakers
Los Angeles Clippers,Philadelphia 76ers,Los Angeles Clippers
Miami Heat,Atlanta Hawks,Atlanta Hawks
Portland Trail Blazers,Boston Celtics,Portland Trail Blazers
Chicago Bulls,Milwaukee Bucks,Milwaukee Bucks
Toronto Raptors,Washington Wizards,Toronto Raptors
Brooklyn Nets,San Antonio Spurs,Brooklyn Nets
Memphis Grizzlies,Denver Nuggets,Memphis Grizzlies
Detroit Pistons,Utah Jazz,Utah Jazz
Houston Rockets,Golden State Warriors,Golden State Warriors
Sacramento Kings,Milwaukee Bucks,Milwaukee Bucks
Oklahoma City Thunder,Cleveland Cavaliers,Cleveland Cavaliers
Indiana Pacers,Phoenix Suns,Phoenix Suns
Los Angeles Clippers,New York Knicks,New York Knicks
Boston Celtics,Washington Wizards,Boston Celtics
Los Angeles Lakers,Miami Heat,Miami Heat
Chicago Bulls,Orlando Magic,Orlando Magic
Portland Trail Blazers,Toronto Raptors,Portland Trail Blazers
Atlanta Hawks,Charlotte Hornets,Atlanta Hawks
Philadelphia 76ers,San Antonio Spurs,Philadelphia 76ers
Memphis Grizzlies,Dallas Mavericks,Dallas Mavericks
Detroit Pistons,Denver Nuggets,Denver Nuggets
Brooklyn Nets,Minnesota Timberwolves,Minnesota Timberwolves
Utah Jazz,Golden State Warriors,Golden State Warriors
New York Knicks,Cleveland Cavaliers,Cleveland Cavaliers
Indiana Pacers,New Orleans Pelicans,New Orleans Pelicans
Chicago Bulls,Oklahoma City Thunder,Chicago Bulls
Utah Jazz,Phoenix Suns,Phoenix Suns
Denver Nuggets,Detroit Pistons,Denver Nuggets
New Orleans Pelicans,Philadelphia 76ers,Philadelphia 76ers
Charlotte Hornets,Toronto Raptors,Toronto Raptors
Los Angeles Clippers,Washington Wizards,Los Angeles Clippers
Sacramento Kings,Boston Celtics,Boston Celtics
Los Angeles Lakers,Brooklyn Nets,Los Angeles Lakers
San Antonio Spurs,Houston Rockets,San Antonio Spurs
Dallas Mavericks,Golden State Warriors,Golden State Warriors
Minnesota Timberwolves,Portland Trail Blazers,Minnesota Timberwolves
Milwaukee Bucks,Cleveland Cavaliers,Cleveland Cavaliers
Charlotte Hornets,Indiana Pacers,Charlotte Hornets
Los Angeles Clippers,Orlando Magic,Los Angeles Clippers
Sacramento Kings,Atlanta Hawks,Atlanta Hawks
New York Knicks,Miami Heat,Miami Heat
Denver Nuggets,Brooklyn Nets,Denver Nuggets
Toronto Raptors,Chicago Bulls,Chicago Bulls
Memphis Grizzlies,San Antonio Spurs,Memphis Grizzlies
Dallas Mavericks,Portland Trail Blazers,Dallas Mavericks
Phoenix Suns,Utah Jazz,Phoenix Suns
Los Angeles Lakers,Philadelphia 76ers,Philadelphia 76ers
Minnesota Timberwolves,Golden State Warriors,Golden State Warriors
Detroit Pistons,Orlando Magic,Orlando Magic
Boston Celtics,Atlanta Hawks,Atlanta Hawks
Los Angeles Lakers,Charlotte Hornets,Charlotte Hornets
Portland Trail Blazers,Houston Rockets,Portland Trail Blazers
Utah Jazz,Memphis Grizzlies,Memphis Grizzlies
Los Angeles Clippers,Miami Heat,Miami Heat
Denver Nuggets,New Orleans Pelicans,Denver Nuggets
Indiana Pacers,Oklahoma City Thunder,Indiana Pacers
Chicago Bulls,San Antonio Spurs,San Antonio Spurs
Minnesota Timberwolves,Phoenix Suns,Phoenix Suns
New York Knicks,Milwaukee Bucks,Milwaukee Bucks
Indiana Pacers,Dallas Mavericks,Dallas Mavericks
Boston Celtics,New Orleans Pelicans,Boston Celtics
Sacramento Kings,Philadelphia 76ers,Philadelphia 76ers
Washington Wizards,Memphis Grizzlies,Memphis Grizzlies
Toronto Raptors,Miami Heat,Toronto Raptors
Brooklyn Nets,Golden State Warriors,Golden State Warriors
Los Angeles Lakers,Atlanta Hawks,Atlanta Hawks
Los Angeles Clippers,Charlotte Hornets,Los Angeles Clippers
Portland Trail Blazers,Chicago Bulls,Chicago Bulls
Cleveland Cavaliers,Detroit Pistons,Detroit Pistons
Denver Nuggets,Milwaukee Bucks,Denver Nuggets
Dallas Mavericks,Orlando Magic,Orlando Magic
Utah Jazz,Minnesota Timberwolves,Minnesota Timberwolves
San Antonio Spurs,Phoenix Suns,Phoenix Suns
New Orleans Pelicans,Cleveland Cavaliers,Cleveland Cavaliers
Los Angeles Clippers,Indiana Pacers,Indiana Pacers
Memphis Grizzlies,Philadelphia 76ers,Philadelphia 76ers
Toronto Raptors,Atlanta Hawks,Toronto Raptors
Miami Heat,Boston Celtics,Boston Celtics
Sacramento Kings,New York Knicks,New York Knicks
Golden State Warriors,Houston Rockets,Golden State Warriors
Portland Trail Blazers,Oklahoma City Thunder,Oklahoma City Thunder
New Orleans Pelicans,Detroit Pistons,New Orleans Pelicans
Washington Wizards,Milwaukee Bucks,Milwaukee Bucks
Miami Heat,Toronto Raptors,Toronto Raptors
Orlando Magic,Chicago Bulls,Chicago Bulls
Denver Nuggets,Minnesota Timberwolves,Minnesota Timberwolves
Golden State Warriors,San Antonio Spurs,Golden State Warriors
Brooklyn Nets,Phoenix Suns,Phoenix Suns
Orlando Magic,Indiana Pacers,Orlando Magic
Washington Wizards,Philadelphia 76ers,Washington Wizards
Charlotte Hornets,Boston Celtics,Boston Celtics
Memphis Grizzlies,New York Knicks,Memphis Grizzlies
Cleveland Cavaliers,Houston Rockets,Houston Rockets
Oklahoma City Thunder,Dallas Mavericks,Oklahoma City Thunder
Brooklyn Nets,Sacramento Kings,Sacramento Kings
Denver Nuggets,Utah Jazz,Utah Jazz
Portland Trail Blazers,Los Angeles Lakers,Los Angeles Lakers
Minnesota Timberwolves,Detroit Pistons,Minnesota Timberwolves
Miami Heat,San Antonio Spurs,Miami Heat
Phoenix Suns,Atlanta Hawks,Atlanta Hawks
Chicago Bulls,Toronto Raptors,Toronto Raptors
Sacramento Kings,Golden State Warriors,Golden State Warriors
Los Angeles Lakers,Los Angeles Clippers,Los Angeles Clippers
Cleveland Cavaliers,Charlotte Hornets,Cleveland Cavaliers
Boston Celtics,Detroit Pistons,Boston Celtics
Chicago Bulls,Indiana Pacers,Chicago Bulls
Atlanta Hawks,Toronto Raptors,Toronto Raptors
Houston Rockets,San Antonio Spurs,San Antonio Spurs
New Orleans Pelicans,Denver Nuggets,New Orleans Pelicans
Brooklyn Nets,Utah Jazz,Utah Jazz
Philadelphia 76ers,Dallas Mavericks,Dallas Mavericks
Oklahoma City Thunder,Portland Trail Blazers,Oklahoma City Thunder
Memphis Grizzlies,Orlando Magic,Memphis Grizzlies
Miami Heat,Charlotte Hornets,Miami Heat
Phoenix Suns,Washington Wizards,Phoenix Suns
New York Knicks,Los Angeles Lakers,Los Angeles Lakers
Milwaukee Bucks,Portland Trail Blazers,Milwaukee Bucks
Oklahoma City Thunder,Sacramento Kings,Sacramento Kings
Philadelphia 76ers,Chicago Bulls,Philadelphia 76ers
Brooklyn Nets,Denver Nuggets,Denver Nuggets
Detroit Pistons,Minnesota Timberwolves,Minnesota Timberwolves
Indiana Pacers,Cleveland Cavaliers,Cleveland Cavaliers
Atlanta Hawks,Dallas Mavericks,Dallas Mavericks
Boston Celtics,Orlando Magic,Boston Celtics
New Orleans Pelicans,Houston Rockets,New Orleans Pelicans
Milwaukee Bucks,Los Angeles Clippers,Milwaukee Bucks
Toronto Raptors,Charlotte Hornets,Toronto Raptors
Miami Heat,Washington Wizards,Miami Heat
Phoenix Suns,Chicago Bulls,Phoenix Suns
Golden State Warriors,Oklahoma City Thunder,Golden State Warriors
New York Knicks,Utah Jazz,Utah Jazz
Phoenix Suns,Philadelphia 76ers,Phoenix Suns
Indiana Pacers,Atlanta Hawks,Atlanta Hawks
Boston Celtics,Brooklyn Nets,Boston Celtics
Los Angeles Clippers,Memphis Grizzlies,Memphis Grizzlies
Houston Rockets,New Orleans Pelicans,New Orleans Pelicans
Detroit Pistons,Dallas Mavericks,Dallas Mavericks
New York Knicks,Denver Nuggets,Denver Nuggets
Milwaukee Bucks,Los Angeles Lakers,Milwaukee Bucks
Orlando Magic,Portland Trail Blazers,Orlando Magic
Minnesota Timberwolves,Sacramento Kings,Minnesota Timberwolves
San Antonio Spurs,Cleveland Cavaliers,Cleveland Cavaliers
Chicago Bulls,Charlotte Hornets,Chicago Bulls
Toronto Raptors,Oklahoma City Thunder,Toronto Raptors
Los Angeles Lakers,Portland Trail Blazers,Portland Trail Blazers
Minnesota Timberwolves,Sacramento Kings,Sacramento Kings
Golden State Warriors,Utah Jazz,Utah Jazz
Memphis Grizzlies,Detroit Pistons,Memphis Grizzlies
Miami Heat,New Orleans Pelicans,Miami Heat
Brooklyn Nets,Washington Wizards,Washington Wizards
Toronto Raptors,Houston Rockets,Toronto Raptors
Los Angeles Clippers,Dallas Mavericks,Dallas Mavericks
New York Knicks,Golden State Warriors,New York Knicks
Milwaukee Bucks,Phoenix Suns,Phoenix Suns
Charlotte Hornets,Detroit Pistons,Charlotte Hornets
Cleveland Cavaliers,Indiana Pacers,Cleveland Cavaliers
Oklahoma City Thunder,Philadelphia 76ers,Philadelphia 76ers
San Antonio Spurs,Atlanta Hawks,San Antonio Spurs
Denver Nuggets,Boston Celtics,Boston Celtics
Minnesota Timberwolves,Chicago Bulls,Chicago Bulls
Orlando Magic,Utah Jazz,Utah Jazz
New York Knicks,Portland Trail Blazers,Portland Trail Blazers
Memphis Grizzlies,Charlotte Hornets,Memphis Grizzlies
San Antonio Spurs,New Orleans Pelicans,San Antonio Spurs
Sacramento Kings,Washington Wizards,Sacramento Kings
Cleveland Cavaliers,Philadelphia 76ers,Philadelphia 76ers
Denver Nuggets,Toronto Raptors,Denver Nuggets
Oklahoma City Thunder,Chicago Bulls,Chicago Bulls
Brooklyn Nets,Miami Heat,Miami Heat
Los Angeles Clippers,Dallas Mavericks,Los Angeles Clippers
Los Angeles Lakers,Golden State Warriors,Golden State Warriors
Orlando Magic,Phoenix Suns,Phoenix Suns
Atlanta Hawks,Boston Celtics,Boston Celtics
Minnesota Timberwolves,Indiana Pacers,Minnesota Timberwolves
Detroit Pistons,Washington Wizards,Washington Wizards
Sacramento Kings,Brooklyn Nets,Brooklyn Nets
Oklahoma City Thunder,New York Knicks,Oklahoma City Thunder
San Antonio Spurs,Chicago Bulls,Chicago Bulls
Portland Trail Blazers,Milwaukee Bucks,Portland Trail Blazers
Toronto Raptors,New Orleans Pelicans,New Orleans Pelicans
Orlando Magic,Denver Nuggets,Denver Nuggets
Houston Rockets,Utah Jazz,Utah Jazz
Golden State Warriors,Los Angeles Clippers,Los Angeles Clippers
Cleveland Cavaliers,Atlanta Hawks,Atlanta Hawks
Dallas Mavericks,Miami Heat,Dallas Mavericks
Boston Celtics,Philadelphia 76ers,Boston Celtics
Indiana Pacers,Milwaukee Bucks,Milwaukee Bucks
Charlotte Hornets,Minnesota Timberwolves,Minnesota Timberwolves
Memphis Grizzlies,New Orleans Pelicans,Memphis Grizzlies
Los Angeles Clippers,Phoenix Suns,Phoenix Suns
Atlanta Hawks,Orlando Magic,Atlanta Hawks
Detroit Pistons,Boston Celtics,Detroit Pistons
Washington Wizards,Indiana Pacers,Indiana Pacers
Brooklyn Nets,New York Knicks,Brooklyn Nets
Sacramento Kings,Chicago Bulls,Chicago Bulls
Portland Trail Blazers,Memphis Grizzlies,Portland Trail Blazers
Toronto Raptors,Minnesota Timberwolves,Toronto Raptors
San Antonio Spurs,Oklahoma City Thunder,San Antonio Spurs
Houston Rockets,Phoenix Suns,Phoenix Suns
Denver Nuggets,Golden State Warriors,Denver Nuggets
Utah Jazz,Los Angeles Lakers,Los Angeles Lakers
Miami Heat,Charlotte Hornets,Miami Heat
Washington Wizards,Brooklyn Nets,Washington Wizards
Dallas Mavericks,New Orleans Pelicans,Dallas Mavericks
Philadelphia 76ers,Milwaukee Bucks,Philadelphia 76ers
Houston Rockets,Los Angeles Clippers,Los Angeles Clippers
Cleveland Cavaliers,Detroit Pistons,Detroit Pistons
Boston Celtics,Brooklyn Nets,Boston Celtics
Atlanta Hawks,Chicago Bulls,Chicago Bulls
Memphis Grizzlies,Minnesota Timberwolves,Minnesota Timberwolves
Phoenix Suns,Oklahoma City Thunder,Phoenix Suns
Golden State Warriors,Portland Trail Blazers,Golden State Warriors
Denver Nuggets,Sacramento Kings,Denver Nuggets
Toronto Raptors,Charlotte Hornets,Charlotte Hornets
Oklahoma City Thunder,Indiana Pacers,Oklahoma City Thunder
Houston Rockets,Orlando Magic,Orlando Magic
San Antonio Spurs,Washington Wizards,San Antonio Spurs
Miami Heat,New York Knicks,Miami Heat
Philadelphia 76ers,Minnesota Timberwolves,Philadelphia 76ers
New Orleans Pelicans,Phoenix Suns,New Orleans Pelicans
Dallas Mavericks,Utah Jazz,Utah Jazz
Los Angeles Clippers,Los Angeles Lakers,Los Angeles Clippers
Boston Celtics,Detroit Pistons,Boston Celtics
Toronto Raptors,Atlanta Hawks,Atlanta Hawks
Memphis Grizzlies,Chicago Bulls,Memphis Grizzlies
Washington Wizards,Cleveland Cavaliers,Cleveland Cavaliers
San Antonio Spurs,Miami Heat,Miami Heat
Brooklyn Nets,Milwaukee Bucks,Brooklyn Nets
Sacramento Kings,Denver Nuggets,Denver Nuggets
Philadelphia 76ers,New York Knicks,Philadelphia 76ers
Utah Jazz,Phoenix Suns,Utah Jazz
Boston Celtics,Indiana Pacers,Indiana Pacers
Detroit Pistons,Charlotte Hornets,Detroit Pistons
Los Angeles Clippers,Houston Rockets,Los Angeles Clippers
Dallas Mavericks,Golden State Warriors,Dallas Mavericks
Denver Nuggets,Portland Trail Blazers,Denver Nuggets
New Orleans Pelicans,Los Angeles Lakers,New Orleans Pelicans
Minnesota Timberwolves,Cleveland Cavaliers,Minnesota Timberwolves
Indiana Pacers,Orlando Magic,Orlando Magic
Toronto Raptors,Brooklyn Nets,Toronto Raptors
Chicago Bulls,Miami Heat,Miami Heat
San Antonio Spurs,Memphis Grizzlies,Memphis Grizzlies
Charlotte Hornets,Milwaukee Bucks,Milwaukee Bucks
Sacramento Kings,Oklahoma City Thunder,Sacramento Kings
Detroit Pistons,Washington Wizards,Washington Wizards
Atlanta Hawks,Boston Celtics,Boston Celtics
Brooklyn Nets,Toronto Raptors,Toronto Raptors
Los Angeles Clippers,Houston Rockets,Los Angeles Clippers
Golden State Warriors,Minnesota Timberwolves,Minnesota Timberwolves
Dallas Mavericks,Los Angeles Lakers,Dallas Mavericks
Charlotte Hornets,Cleveland Cavaliers,Charlotte Hornets
Indiana Pacers,Orlando Magic,Indiana Pacers
New York Knicks,Philadelphia 76ers,Philadelphia 76ers
Utah Jazz,Houston Rockets,Utah Jazz
Miami Heat,Milwaukee Bucks,Milwaukee Bucks
Sacramento Kings,New Orleans Pelicans,New Orleans Pelicans
Oklahoma City Thunder,Denver Nuggets,Oklahoma City Thunder
Portland Trail Blazers,Phoenix Suns,Phoenix Suns
Chicago Bulls,Atlanta Hawks,Atlanta Hawks
Memphis Grizzlies,Boston Celtics,Boston Celtics
Miami Heat,Brooklyn Nets,Miami Heat
Detroit Pistons,Toronto Raptors,Detroit Pistons
Golden State Warriors,Dallas Mavericks,Dallas Mavericks
Sacramento Kings,San Antonio Spurs,Sacramento Kings
Los Angeles Lakers,Los Angeles Clippers,Los Angeles Clippers
Indiana Pacers,Detroit Pistons,Detroit Pistons
Cleveland Cavaliers,Philadelphia 76ers,Philadelphia 76ers
Atlanta Hawks,Washington Wizards,Atlanta Hawks
Milwaukee Bucks,Chicago Bulls,Milwaukee Bucks
Orlando Magic,Toronto Raptors,Orlando Magic
Utah Jazz,New Orleans Pelicans,New Orleans Pelicans
Minnesota Timberwolves,Oklahoma City Thunder,Minnesota Timberwolves
Houston Rockets,Denver Nuggets,Denver Nuggets
New York Knicks,Phoenix Suns,Phoenix Suns
Sacramento Kings,Dallas Mavericks,Dallas Mavericks
San Antonio Spurs,Charlotte Hornets,Charlotte Hornets
Orlando Magic,Memphis Grizzlies,Memphis Grizzlies
Philadelphia 76ers,Miami Heat,Miami Heat
Portland Trail Blazers,Minnesota Timberwolves,Minnesota Timberwolves
Golden State Warriors,Los Angeles Lakers,Los Angeles Lakers
Brooklyn Nets,Boston Celtics,Boston Celtics
Phoenix Suns,Milwaukee Bucks,Milwaukee Bucks
Indiana Pacers,Washington Wizards,Washington Wizards
Memphis Grizzlies,Houston Rockets,Houston Rockets
Utah Jazz,Oklahoma City Thunder,Utah Jazz
Toronto Raptors,Cleveland Cavaliers,Cleveland Cavaliers
New Orleans Pelicans,Denver Nuggets,Denver Nuggets
